SampleID,LifeStage,FecalSeries,SampleDay,Max Daily Rainfall,Max Cumulative Rainfall,Max Humidity,Max Temperature,SampleDate,quant_reading,sample.type,Sample_or_Control,is.neg,PD,SR,sample_sums.clean1PTr2.,FecalConsistency
aju1A,Juvenile,Aju 1,Day 0,0,0,62,80,6.27.19,25.2,TRUE,True Sample,FALSE,4.72665823,85,22858,Normal
aju1B,Juvenile,Aju 1,Day 1,0.23,0.23,100,89,6.28.19,50.8,TRUE,True Sample,FALSE,4.393624374,78,32060,Normal
aju1C,Juvenile,Aju 1,Day 2,0.48,0.71,100,90,6.29.19,48.4,TRUE,True Sample,FALSE,2.681744314,34,27287,Normal
aju1D,Juvenile,Aju 1,Day 3,0.01,0.72,100,91,6.30.19,21.2,TRUE,True Sample,FALSE,3.87682835,49,27504,Normal
aju1E,Juvenile,Aju 1,Day 4,0.1,0.82,96,88,7.1.19,41.2,TRUE,True Sample,FALSE,3.054730567,52,23162,Normal
aju1F,Juvenile,Aju 1,Day 5,0,0.82,98,84,7.2.19,21.6,TRUE,True Sample,FALSE,3.432418483,64,22112,Normal
aju2A,Adult,Aju 2,Day 0,0,0,100,91,6.30.19,26,TRUE,True Sample,FALSE,4.555455226,76,14971,Normal
aju2B,Adult,Aju 2,Day 1,0.1,0.1,96,88,7.1.19,53.6,TRUE,True Sample,FALSE,4.525196157,89,27841,Normal
aju2C,Adult,Aju 2,Day 2,0,0.1,98,84,7.2.19,52.4,TRUE,True Sample,FALSE,4.242478237,83,20934,Normal
aju2D,Adult,Aju 2,Day 3,0,0.1,99,91,7.3.19,42.6,TRUE,True Sample,FALSE,4.696006511,86,22223,Normal
aju2E,Adult,Aju 2,Day 4,0.06,0.16,100,91,7.4.19,13,TRUE,True Sample,FALSE,4.613974951,73,14901,Normal
aju2F,Adult,Aju 2,Day 5,0.07,0.23,100,89,7.5.19,33,TRUE,True Sample,FALSE,4.994736188,86,23896,Normal
aju3A,Juvenile,Aju 3,Day 0,0,0,99,91,7.3.19,35.4,TRUE,True Sample,FALSE,3.953940296,72,26366,Normal
aju3B,Juvenile,Aju 3,Day 1,0.06,0.06,100,91,7.4.19,10.3,TRUE,True Sample,FALSE,2.078879795,28,10014,Normal
aju3C,Juvenile,Aju 3,Day 2,0.07,0.13,100,89,7.5.19,19.6,TRUE,True Sample,FALSE,3.311924672,49,28026,Normal
aju3D,Juvenile,Aju 3,Day 3,0.09,0.22,100,87,7.6.19,26.2,TRUE,True Sample,FALSE,3.300358088,55,29520,Normal
aju3E,Juvenile,Aju 3,Day 4,0.03,0.25,100,90,7.7.19,4.26,TRUE,True Sample,FALSE,3.412164156,48,9214,Normal
aju4A,Juvenile,Aju 4,Day 0,0,0,100,85,7.10.19,25.4,TRUE,True Sample,FALSE,4.551286454,89,29377,Normal
aju4B,Juvenile,Aju 4,Day 1,0,0,100,87,7.11.19,16.7,TRUE,True Sample,FALSE,4.848356272,99,30594,Normal
aju4C,Juvenile,Aju 4,Day 2,0.34,0.34,100,87,7.12.19,23.4,TRUE,True Sample,FALSE,3.048985468,51,30257,Normal
aju4D,Juvenile,Aju 4,Day 3,0.01,0.35,100,88,7.13.19,36.2,TRUE,True Sample,FALSE,3.021443137,56,28979,Normal
aju4E,Juvenile,Aju 4,Day 4,0,0.35,100,88,7.14.19,31,TRUE,True Sample,FALSE,3.49154194,62,39848,Normal
aju4F,Juvenile,Aju 4,Day 5,0,0.35,100,90,7.15.19,35.4,TRUE,True Sample,FALSE,3.212249025,55,28114,Normal
aju5A,Juvenile,Aju 5,Day 0,0,0,100,85,7.10.19,9.76,TRUE,True Sample,FALSE,4.124835197,80,35290,Normal
aju5B,Juvenile,Aju 5,Day 1,0,0,100,87,7.11.19,19.2,TRUE,True Sample,FALSE,3.227887626,55,42284,Normal
aju5C,Juvenile,Aju 5,Day 2,0.34,0.34,100,87,7.12.19,38.6,TRUE,True Sample,FALSE,3.420749247,56,26441,Normal
aju5D,Juvenile,Aju 5,Day 3,0.01,0.35,100,88,7.13.19,53.2,TRUE,True Sample,FALSE,2.670731107,44,26788,Normal
aju5E,Juvenile,Aju 5,Day 4,0,0.35,100,88,7.14.19,46,TRUE,True Sample,FALSE,3.267906369,59,22065,Normal
aju6A,Adult,Aju 6,Day 0,0,0,100,87,7.11.19,36.4,TRUE,True Sample,FALSE,4.398796782,83,24731,Normal
aju6B,Adult,Aju 6,Day 1,0.34,0.34,100,87,7.12.19,24.6,TRUE,True Sample,FALSE,3.708440763,66,19936,Normal
aju6C,Adult,Aju 6,Day 2,0.01,0.35,100,88,7.13.19,42.8,TRUE,True Sample,FALSE,4.614078991,86,23355,Normal
aju6D,Adult,Aju 6,Day 3,0,0.35,100,88,7.14.19,24.4,TRUE,True Sample,FALSE,4.106043867,63,24677,Normal
aju6E,Adult,Aju 6,Day 4,0,0.35,100,90,7.15.19,17.4,TRUE,True Sample,FALSE,4.556489614,85,22064,Normal
aju6F,Adult,Aju 6,Day 5,0,0.35,100,90,7.16.19,29,TRUE,True Sample,FALSE,3.932851307,80,23356,Normal
aju7A,Juvenile,Aju 7,Day 0,0,0,100,88,7.13.19,27.4,TRUE,True Sample,FALSE,3.774456639,43,15447,Loose
aju7B,Juvenile,Aju 7,Day 1,0,0,100,88,7.14.19,50.2,TRUE,True Sample,FALSE,4.345208687,66,22891,Loose
aju7C,Juvenile,Aju 7,Day 2,0,0,100,90,7.15.19,3.62,TRUE,True Sample,FALSE,3.56408315,38,8648,Loose
aju7D,Juvenile,Aju 7,Day 3,0,0,100,90,7.16.19,41.6,TRUE,True Sample,FALSE,4.002423195,62,14401,Loose
aju8A,Juvenile,Aju 8,Day 0,0,0,100,88,7.14.19,27.4,TRUE,True Sample,FALSE,3.876509296,67,20195,Loose
aju8B,Juvenile,Aju 8,Day 1,0,0,100,90,7.15.19,31.2,TRUE,True Sample,FALSE,3.72574083,52,18669,Loose
aju8C,Juvenile,Aju 8,Day 2,0,0,100,90,7.16.19,41.8,TRUE,True Sample,FALSE,3.742498537,56,23098,Loose
